Position,Type,Name,AmountGiven,Price,Color,AmountToPay,Dest
1,GO!,GO!,2,,,,
2,Chance,Chance,,,,,
3,Amusement,Balloon Stand,,1,Purple,,
4,Amusement,Cotton Candy,,1,Purple,,
5,Chance,Chance,,,,,
6,Railroad,Yellowline Railroad,,,Yellow,,
7,Amusement,Puppet Show,,2,Blue,,
8,Amusement,Magic Show,,2,Blue,,
9,PayToSee,The Fireworks,,,,2,
10,Chance,Chance,,,,,
11,Restrooms,The Restrooms,,,,,
12,Amusement,??,,??,Margenta,,
13,Amusement,??,,??,Margenta,,
14,Railroad,Greenline Railroad,,,Green,,
15,Amusement,??,,??,??,,
16,Amusement,??,,??,??,,
17,GetMoney,Mr Monopenny’s Loose Change,,,,,
18,Chance,Chance,,,,,
19,Amusement,Pony Ride,,3,Red,,
20,Amusement,Water Slide,,3,Red,,
21,Chance,Chance,,,,,
22,Railroad,Blueline Railroad,,,Blue,,
23,Amusement,Helicopter Ride,,4,Yellow,,
24,Amusement,Miniature Golf,,4,Yellow,,
25,PayToSee,Dolphins,,,,2,
26,Chance,Chance,,,,,
27,GoTo,Go to the Restrooms,,,,3,11
28,Amusement,Bumper Cars,,4,Green,,
29,Amusement,Ferris Wheel,,4,Green,,
30,Railroad,Redline Railroad,,,,,
31,Amusement,Loop the Loop,,5,Dark Blue,,
32,Amusement,Merry Go Round,,5,Dark Blue,,
