Position,Type,Name,AmountGiven,Price,Color,AmountToPay,Dest
1,GO!,Start!,2,,,,
2,Chance,Chancen,,,,,
3,Amusement,Ballon bod,,1,Purple,,
4,Amusement,Candyfloss bod,,1,Purple,,
5,Chance,Chancen,,,,,
6,Railroad,Den gule jernbanelinje,,,Yellow,,
7,Amusement,Dukke forestilling,,2,Turquoise,,
8,Amusement,Tryllekunstner,,2,Turquoise,,
9,PayToSee,Fyrværkeri show,,,,2,
10,Chance,Chancen,,,,,
11,Restrooms,Toiletterne,,,,,
12,Amusement,Karrusel,,2,Magenta,,
13,Amusement,Vandcykler,,2,Magenta,,
14,Railroad,Den grønne jernbanelinje,,,Green,,
15,Amusement,Vandrutsjebane,,3,Orange,,
16,Amusement,Minigolf,,3,Orange,,
17,GetMoney,Søren Sparegris' ekstra småpenge,,,,,
18,Chance,Chancen,,,,,
19,Amusement,Spillehal,,3,Red,,
20,Amusement,Det hjemsøgte hus,,3,Red,,
21,Chance,Chancen,,,,,
22,Railroad,Den blå jernbanelinje,,,Blue,,
23,Amusement,En tur i helikopter,,4,Yellow,,
24,Amusement,Pony ridening,,4,Yellow,,
25,PayToSee,Springvandet,,,,2,
26,Chance,Chancen,,,,,
27,GoTo,Gå til toiletterne,,,,3,11
28,Amusement,Radiobilerne,,4,Green,,
29,Amusement,Pariserhjulet,,4,Green,,
30,Railroad,Den røde jernbanelinje,,,Red,,
31,Amusement,Flyv i loop,,5,Blue,,
32,Amusement,Rutsjebane,,5,Blue,,
